scenario,link,metric,time
home,3g,transport connection,0.010973
home,4g,transport connection,0.017896
home,wifi,transport connection,0.010004
home,zigbee,transport connection,0.014504
home,ethernet,transport connection,0.013133
farm,3g,transport connection,0.014833
farm,4g,transport connection,0.013472
farm,wifi,transport connection,0.010779
farm,zigbee,transport connection,0.014224
farm,ethernet,transport connection,0.014031
synth,3g,transport connection,0.021161
synth,4g,transport connection,0.025254
synth,wifi,transport connection,0.01937
synth,zigbee,transport connection,0.015207
synth,ethernet,transport connection,0.016578
home,3g,communication time,106.377765
home,4g,communication time,105.98581
home,wifi,communication time,117.546144
home,zigbee,communication time,101.609992
home,ethernet,communication time,101.400701
farm,3g,communication time,106.377765
farm,4g,communication time,104.116357
farm,wifi,communication time,107.490846
farm,zigbee,communication time,102.026239
farm,ethernet,communication time,103.400575
synth,3g,communication time,112.00644
synth,4g,communication time,117.502892
synth,wifi,communication time,102.185645
synth,zigbee,communication time,106.601513
synth,ethernet,communication time,104.236052